Table Migration report: 16 Oct 2025,,,,,,,,,,,,,,,,,,,,,
================================,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,AccFirstName,NVARCHAR(50),No,No,--/--,AccFirstName,NVARCHAR(50),No,No,No,n/a,Copy,AccFirstName,,,,,,,,
,AccLastName,NVARCHAR(50),No,No,--/--,AccLastName,NVARCHAR(50),No,No,No,n/a,Copy,AccLastName,,,,,,,,
,AltAccFirstName,NVARCHAR(50),No,No,--/--,AltAccFirstName,NVARCHAR(50),No,No,No,n/a,Copy,AltAccFirstName,,,,,,,,
,AltAccLastName,NVARCHAR(50),No,No,--/--,AltAccLastName,NVARCHAR(50),No,No,No,n/a,Copy,AltAccLastName,,,,,,,,
,PriceLevelID,INT,No,No,--/--,PriceLevelID,INT,FK (PriceLevelsTbl),No,No,n/a,Copy,PriceLevelID,,,,,,,,
,InvoiceTypeID,INT,No,No,--/--,InvoiceTypeID,INT,FK (InvoiceTypesTbl),No,No,n/a,Copy,InvoiceTypeID,,,,,,,,
,RegNo,NVARCHAR(30),No,No,--/--,RegNo,NVARCHAR(30),No,No,No,n/a,Copy,RegNo,,,,,,,,
,BankAccNo,NVARCHAR(30),No,No,--/--,BankAccNo,NVARCHAR(30),No,No,No,n/a,Copy,BankAccNo,,,,,,,,
,BankBranch,NVARCHAR(50),No,No,--/--,BankBranch,NVARCHAR(50),No,No,No,n/a,Copy,BankBranch,,,,,,,,
,Enabled,BIT,No,No,--/--,Enabled,BIT,No,No,No,n/a,Copy,Enabled,,,,,,,,
,Notes,NVARCHAR(536870910),No,No,--/--,Notes,NVARCHAR(536870910),No,No,No,n/a,Copy,Notes,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,CustomersTbl,ContactsTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,CustomerID,INT,No,No,--/--,ContactID,INT,PK,Yes,No,n/a,Rename,CustomerID,,,,,,,,
